ADMIN1_ID,ADMIN1_NAME
BFA.5_1,Centre-Ouest
BFA.6_1,Centre-Sud
BFA.8_1,Est
BFA.9_1,Haut-Bassins
BFA.10_1,Nord
BFA.11_1,Plateau-Central
BFA.12_1,Sahel
BFA.13_1,Sud-Ouest
BGD.1_1,Barisal
BGD.2_1,Chittagong
BGD.3_1,Dhaka
BGD.4_1,Khulna
BGD.8_1,Mymensingh
BGD.5_1,Rajshahi
BGD.6_1,Rangpur
BGD.7_1,Sylhet
BGR.1_1,Blagoevgrad
BGR.2_1,Burgas
BGR.3_1,Dobrich
BGR.4_1,Gabrovo
BGR.5_1,Grad Sofiya
BGR.6_1,Haskovo
BGR.7_1,Kardzhali
BGR.8_1,Kyustendil
BGR.9_1,Lovech
BGR.10_1,Montana
BGR.11_1,Pazardzhik
BGR.12_1,Pernik
BGR.13_1,Pleven
BGR.14_1,Plovdiv
BGR.15_1,Razgrad
BGR.16_1,Ruse
BGR.17_1,Shumen
BGR.18_1,Silistra
BGR.19_1,Sliven
BGR.20_1,Smolyan
BGR.21_1,Sofia
BGR.22_1,Stara Zagora
BGR.23_1,Targovishte
BGR.24_1,Varna
BGR.25_1,Veliko Tarnovo
BGR.26_1,Vidin
BGR.27_1,Vratsa
BGR.28_1,Yambol
BHR.1_1,Capital
BHR.3_1,Muharraq
BHR.4_1,Northern
BHR.5_1,Southern
BHS.1_1,Acklins
BHS.2_1,Berry Islands
BHS.3_1,Biminis
BHS.4_1,Black Point
BHS.5_1,Cat Island
BHS.6_1,Central Abaco
BHS.7_1,Central Andros
BHS.8_1,Central Eleuthera
BHS.9_1,City of Freeport
BHS.10_1,Crooked Island
BHS.11_1,East Grand Bahama
BHS.12_1,Exuma
BHS.13_1,Grand Cay
BHS.14_1,Harbour Island
BHS.15_1,Hope Town
BHS.16_1,Inagua
BHS.17_1,Long Island
BHS.18_1,Mangrove Cay
BHS.19_1,Mayaguana
BHS.20_1,Moore's Island
BHS.21_1,New Providence
BHS.22_1,North Abaco
BHS.23_1,North Andros
BHS.24_1,North Eleuthera
BHS.25_1,Ragged Island
BHS.26_1,Rum Cay
BHS.27_1,San Salvador
BHS.28_1,South Abaco
BHS.29_1,South Andros
BHS.30_1,South Eleuthera
BHS.31_1,Spanish Wells
BHS.32_1,West Grand Bahama
BIH.1_1,Brčko
BIH.2_1,Federacija Bosna i Hercegovina
BIH.3_1,Repuplika Srpska
BLM.1_1,Au Vent
BLM.2_1,Sous le Vent
BLR.1_1,Brest
BLR.2_1,Gomel
BLR.3_1,Grodno
BLR.5_1,Minsk
BLR.7_1,Minsk
BLR.4_1,Mogilev
BLR.6_1,Vitebsk
BLZ.1_1,Belize
BLZ.2_1,Cayo
BLZ.3_1,Corozal
BLZ.4_1,Orange Walk
BLZ.5_1,Stann Creek
BLZ.6_1,Toledo
BMU.1_1,Devonshire
BMU.2_1,Hamilton
BMU.3_1,Hamilton Municipality
BMU.4_1,Paget
BMU.5_1,Pembroke
BMU.6_1,Saint George's
BMU.7_1,Saint George municipality
BMU.8_1,Sandys
BMU.9_1,Smiths
BMU.10_1,Southampton
BMU.11_1,Warwick
BOL.3_1,Beni
BOL.1_1,Chuquisaca
BOL.2_1,Cochabamba
BOL.4_1,La Paz
BOL.5_1,Oruro
BOL.6_1,Pando
BOL.7_1,Potosí
BOL.8_1,Santa Cruz
BOL.9_1,Tarija
BRA.1_1,Acre
BRA.2_1,Alagoas
BRA.3_1,Amapá
BRA.4_1,Amazonas
BRA.5_1,Bahia
BRA.6_1,Ceará
BRA.7_1,Distrito Federal
BRA.8_1,Espírito Santo
BRA.9_1,Goiás
BRA.10_1,Maranhão
BRA.12_1,Mato Grosso
BRA.11_1,Mato Grosso do Sul
BRA.13_1,Minas Gerais
BRA.14_1,Pará
BRA.15_1,Paraíba
BRA.16_1,Paraná
BRA.17_1,Pernambuco
BRA.18_1,Piauí
BRA.19_1,Rio de Janeiro
BRA.20_1,Rio Grande do Norte
BRA.21_1,Rio Grande do Sul
BRA.22_1,Rondônia
BRA.23_1,Roraima
BRA.24_1,Santa Catarina
BRA.25_1,São Paulo
BRA.26_1,Sergipe
BRA.27_1,Tocantins
BRB.1_1,Christ Church
BRB.2_1,Saint Andrew
BRB.3_1,Saint George
BRB.4_1,Saint James
BRB.5_1,Saint John
BRB.6_1,Saint Joseph
BRB.7_1,Saint Lucy
BRB.8_1,Saint Michael
BRB.9_1,Saint Peter
BRB.10_1,Saint Philip
BRB.11_1,Saint Thomas
BRN.1_1,Belait
BRN.2_1,Brunei and Muara
BRN.3_1,Temburong
BRN.4_1,Tutong
BTN.1_1,Bumthang
BTN.2_1,Chhukha
BTN.3_1,Dagana
BTN.4_1,Gasa
BTN.5_1,Haa
BTN.6_1,Lhuentse
